node_id,x,y,label,type
O76457109,116.4899172,39.9590101,,normal
O76457111,116.4914119,39.95968,,normal
O76457112,116.4920161,39.9601604,,normal
O76457113,116.4951015,39.96291,,normal
O76457116,116.4899148,39.9666189,,normal
O76457123,116.4899349,39.9664162,,normal
O76457124,116.4904126,39.9660153,,normal
O76457133,116.4897264,39.9539,,normal
O76457134,116.5003825,39.9539365,,normal
O76457138,116.5003057,39.9534264,,normal
O76457139,116.5003953,39.9538037,,normal
O76457143,116.4944974,39.9553056,,normal
O76457145,116.4945917,39.9539064,,normal
O76458030,116.4340651,39.9414198,,normal
O76458031,116.4334867,39.9414171,,normal
O77312803,116.4478941,39.9519725,,normal
O77312806,116.4466809,39.9508807,,normal
O77312807,116.4462807,39.9505176,,normal
O77312808,116.4452052,39.9499158,,normal
O77312809,116.44446,39.9497314,,normal
O77315189,116.434973,39.9494431,,normal
O77315190,116.4433851,39.9494838,,normal
O77315191,116.4445693,39.9495847,,normal
O77315192,116.4455199,39.9498799,,normal
O77315194,116.4464422,39.9504669,,normal
O77315195,116.4480185,39.9518892,,normal
O77317007,116.4499173,39.9478569,,normal
O82972304,116.4618506,39.9373431,,normal
O90235958,116.4168494,39.9408412,,normal
O100630167,116.4440205,39.9337675,,normal
O100631017,116.444556,39.9412521,,normal
O100631018,116.444612,39.9392227,,normal
O100631019,116.4445923,39.9389299,,normal
O100631020,116.4445059,39.9386384,,normal
O100631605,116.4505373,39.9365955,,normal
O100631859,116.4498249,39.9365455,,normal
O100631861,116.4485697,39.9364357,,normal
O100634162,116.4369055,39.929957,,normal
O100634163,116.4370446,39.9295355,,normal
O100634165,116.4372899,39.9288486,,normal
O100634166,116.4374656,39.9282809,,normal
O100634167,116.4375547,39.9276392,,normal
O124173670,116.3439873,39.9281738,,normal
O127226581,116.4614566,39.9450514,,normal
O127227174,116.4614599,39.9438573,,normal
O127235022,116.4444753,39.9439245,,normal
O127235769,116.4466927,39.9424761,,normal
O127255833,116.4172502,39.9833984,,normal
O127255836,116.430977,39.9835419,,normal
O127260222,116.3955812,39.9832712,,normal
O127263175,116.407473,39.9715113,,normal
O127263177,116.4073747,39.9707925,,normal
O127263178,116.4073116,39.9705302,,normal
O127264355,116.4075004,39.9683535,,normal
O127264356,116.4074348,39.9676788,,normal
O127264357,116.4074715,39.9674303,,normal
O127264358,116.4076235,39.966865,,normal
O127264360,116.407702,39.9659167,,normal
O127265129,116.4083321,39.9485279,,normal
O151994531,116.3301581,40.0109304,,normal
O151994535,116.3305796,40.0036254,,normal
O165738203,116.4689188,39.9861612,,normal
O165738204,116.4655782,39.9883286,,normal
O165738216,116.4627126,39.9971873,,normal
O165738232,116.4600563,39.9853455,,normal
O165738233,116.4624426,39.9860133,,normal
O165738235,116.4631751,39.9863425,,normal
O165738236,116.4641054,39.9869019,,normal
O165738237,116.4643436,39.9870959,,normal
O165738239,116.4701307,39.992671,,normal
O165738255,116.4689935,39.9934408,,normal
O165738257,116.4680319,39.994865,,normal
O165738260,116.4678505,39.9972892,,normal
O165738262,116.4676627,40.0016787,,normal
O165738263,116.4675284,40.0049054,,normal
O165738264,116.4672505,40.0116272,,normal
O165738265,116.4627472,40.001017,,normal
O165738266,116.4629817,40.0049284,,normal
O165738307,116.4602306,40.0009349,,normal
O165738334,116.4822215,40.0017816,,normal
O165738335,116.4811212,40.0019683,,normal
O165738336,116.4798442,40.0021082,,normal
O165738337,116.4786915,40.002089,,normal
O165738419,116.4576633,39.9970057,,normal
O165738420,116.4460271,39.9957564,,normal
O165738461,116.4733604,40.0019087,,normal
O165738536,116.4665239,39.9832973,,normal
O165738586,116.4827241,39.9842631,,normal
O165738603,116.4881519,39.980821,,normal
O209305766,116.4332577,39.94132,,normal
O209309811,116.434205,39.9336775,,normal
O233297531,116.3534406,39.9764658,,normal
O233297997,116.345628,39.9763712,,normal
O233759841,116.4632142,39.9755263,,normal
O233759888,116.4623487,39.9761581,,normal
